lead_id,property_name,contact_name,role,email,phone,city,country,website,lead_source,partner_id,partner_role,package,deal_value_eur,status,priority,qualification_score,last_contact,next_follow_up,follow_up_mode,thread_sender,thread_id,owner,opt_out,payment_status,amount_collected_eur,commission_rate,commission_eur,commission_status,notes
LSG-H-0001,Reflection Boutique Hotels,,,info@reflectionhotels.com,+393456791209,Toscolano Maderno,Italy,https://reflectionhotels.com/,public_website,,,Low-Season Booking Sprint,479,contacted,high,9,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a082425aeb5936f,Vincenzo,false,none,0,0,0,none,12-room owner-managed boutique hotel on Lake Garda; strong seasonal fit; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a082425aeb5936f
LSG-H-0002,Boutique Hotel La Vittoria Garda,,,info@hotellavittoria.it,+390456270473,Garda,Italy,https://www.hotellavittoria.it/,public_website,,,Low-Season Booking Sprint,479,contacted,high,8,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a0824270e3ce0d8,Vincenzo,false,none,0,0,0,none,Independent lakeside boutique hotel; direct-booking benefits already promoted; seasonal demand opportunity; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a0824270e3ce0d8
LSG-H-0003,Hotel Onda Verde,,,reservations@ondaverde.it,+39089874125,Praiano,Italy,https://www.ondaverde.it/,public_website,,,Low-Season Booking Sprint,479,contacted,high,9,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a0824296b0f89e6,Vincenzo,false,none,0,0,0,none,25-room Amalfi Coast hotel; current 5/7-night packages are strongly destination-led; clear shoulder-season fit; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a0824296b0f89e6
LSG-H-0004,Palazzo Tafuri,,,contact@palazzotafuri.com,+3908331824099,Nardo,Italy,https://www.palazzotafuri.com/,public_website,,,Low-Season Booking Sprint,479,contacted,high,9,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a08242aa4c68232,Vincenzo,false,none,0,0,0,none,16-suite boutique hotel in Salento with rooftop and pool; strong seasonal destination; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a08242aa4c68232
LSG-H-0005,Dimora Pirrelli Boutique Hotel & Spa,,,dimorapirrellimonopoli@gmail.com,+393890490856,Monopoli,Italy,https://www.dimorapirrelli.com/,public_website,,,Low-Season Revenue Audit,249,contacted,high,9,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a08242c5428f51c,Vincenzo,false,none,0,0,0,none,Boutique property in Monopoli; promoted boat-tour offer is highly summer-oriented; strong low-season repositioning opportunity; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a08242c5428f51c
LSG-H-0006,La Sommita Relais,,,info@lasommita.it,+390831305925,Ostuni,Italy,https://lasommita.it/,public_website,,,Low-Season Revenue Audit,249,contacted,medium,8,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a082439796f488c,Vincenzo,false,none,0,0,0,none,5-star boutique hotel in highly seasonal Ostuni; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a082439796f488c
LSG-H-0007,Palazzo Pascal,,,info@palazzopascal.it,+39089858312,Scala,Italy,https://www.palazzopascal.com/,public_website,,,Low-Season Booking Sprint,479,contacted,high,9,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a08243308ce058c,Vincenzo,false,none,0,0,0,none,Family-run 5-star boutique hotel on Amalfi Coast; seasonal destination and events positioning; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a08243308ce058c
LSG-H-0008,Ravello Art Hotel Marmorata,,,direzione@marmorata.it,+39089877777,Ravello,Italy,https://hotelmarmorata.com/,public_website,,,Low-Season Booking Sprint,479,contacted,high,9,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a0824349b82ea88,Vincenzo,false,none,0,0,0,none,4-star Ravello hotel with beach club as a flagship summer asset; management email publicly listed; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a0824349b82ea88
LSG-H-0009,Taodomus Boutique Hotel,,,info@taodomus.it,+390942628315,Taormina,Italy,https://hoteltaodomustaormina.com/,public_website,,,Low-Season Booking Sprint,479,contacted,high,8,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a0824361100a270,Vincenzo,false,none,0,0,0,none,Boutique hotel in central Taormina; destination highly seasonal; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a0824361100a270
LSG-H-0010,Hotel Villa Ducale,,,info@villaducale.com,+39094228153,Taormina,Italy,https://www.villaducale.com/,public_website,,,Low-Season Booking Sprint,479,contacted,high,8,2026-09-08,2026-09-11,manual,digital.vincenzoproto@gmail.com,1a082437d2890ad7,Vincenzo,false,none,0,0,0,none,Independent Taormina boutique hotel within QRA Hospitality; seasonal destination; public contact verified 2026-09-08; personalized first outreach sent 2026-09-08; Gmail message/thread 1a082437d2890ad7
