property_name,email,city,source_url
Molenda Bed and Breakfast,info@molenda.it,Città di Castello,https://www.molenda.it/contatti/
La Luna dei Medici,info@lalunadeimedici.com,Fivizzano,https://www.lalunadeimedici.com/contact
I Sette Borghi,info@isetteborghi.it,Massa e Cozzile,https://www.isetteborghi.it/contatti
Il Piccolo Cavour,info@ilpiccolocavourarezzo.it,Arezzo,https://www.ilpiccolocavourarezzo.it/contatti/
B&B Alex,info@alexvacanze.it,Galatina,https://www.alexvacanze.it/contatti/
Masseria Uccio,info@masseriauccio.com,Tricase,https://www.masseriauccio.com/en/reservas-y-contactos-de-la-masseria-uccio-puglia.html
Borgo di Oliveto,info@borgodioliveto.com,Oliveto,https://borgodioliveto.com/
A casa di Silvia,info@acasadisilvia.it,Sannicola,https://www.acasadisilvia.it/
Bio B&B Della Mandorla,info@dellamandorla.it,Perugia,https://www.dellamandorla.it/
Domus Terra Mare,info@domusterramare.it,Torre San Giovanni,https://www.domusterramare.it/
Letto e Merenda,info@lettoemerenda.it,Nardò,https://www.lettoemerenda.it/
Aliseo B&B,office@bbaliseo.it,Lecce,https://www.bbaliseo.it/contatti/
Cortemaggio,cortemaggio@gmail.com,Gualdo Tadino,https://www.cortemaggio.com/
Room Salento Palace,info@roomsalentopalace.it,Torre San Giovanni,https://www.roomsalentopalace.it/contatti/
B&B Il Ceppo,info@bedandbreakfastilceppo.it,Monteriggioni,https://ilceppo-bedandbreakfastmonteriggioni.com/contatti-bb-ilceppo/
B&B La Magnolia,info@bblamagnolia.it,Orvieto,https://www.bblamagnolia.it/en/contacts/
Badia il Vingone,info@badiailvingone.it,Città di Castello,https://badiailvingone.it/
B&B Gisira,info@bebgisira.it,Catania,https://www.bebgisira.it/
La Casa dei Miraglia,info@beblacasadeimiraglia.com,San Cataldo,https://beblacasadeimiraglia.com/about
Villa Rosa dei Venti,bebvillarosadeiventi@gmail.com,Cinisi,https://www.villarosadeiventi.eu/contatti
La Foresteria Catania,laforesteriact@gmail.com,Catania,https://www.bblaforesteriacatania.it/posizione-e-contatti/
Crocevia del Sale,info@croceviadelsale.it,Casella,https://www.croceviadelsale.it/
B&B Il Triclinio,info@bbtriclinio.it,Piazza Armerina,https://www.bbtriclinio.it/prenota
La Durlindana,info@ladurlindana.it,Acireale,https://www.ladurlindana.it/
Sicilia Meraviglia,info@siciliameraviglia.com,Fontane Bianche,https://www.siciliameraviglia.com/contatti/
B&B Sicilia in Miniatura,bb@siciliainminiatura.it,Zafferana Etnea,https://siciliainminiatura.it/bb-sicilia-in-miniatura/contatti/
B&B Ammirata,bebammiratavacanza@gmail.com,Palermo,https://bb-ammirata.webnode.it/
Plebis Bed & Breakfast,info@plebis.it,Catania,https://www.plebis.it/contatti/
Anita B&B,anitacalza.ac@gmail.com,Uscio,https://www.anitabnb-uscio.com/it/contatti/
Il Ghiro Ghiotto,info@pietraligure.ghiroghiotto.it,Pietra Ligure,https://www.bedandbreakfastghiroghiotto.it/en/contatti.html
B&B Le Faie,bnblefaie@gmail.com,Varazze,https://lefaie.wixsite.com/varazze
B&B Pioppi,info@bbpioppi-cilento.it,Pollica,https://www.bbpioppi-cilento.it/contatti/
B&B Il Girasole,info@ilgirasoleabruzzo.it,Basciano,https://www.ilgirasoleabruzzo.it/
Il Rifugio nel Parco,info@ilrifugionelparco.it,Villetta Barrea,https://www.ilrifugionelparco.it/
B&B Mazzarella,info@bebmazzarella.it,San Mauro Cilento,https://b-b-mazzarella.webnode.it/
Welchome B&B,info@welchomebeb.it,Porto Sant'Elpidio,https://www.welchomebeb.it/contatti/
B&B Les Chalets,info@bebleschalets.com,Villetta Barrea,https://www.bebleschalets.com/contatti/
La Casa di Rinaldo,info@lacasadirinaldo.it,Scerne di Pineto,https://www.lacasadirinaldo.it/contatti/
Palazzo Mestichelli,palazzomestichelli@gmail.com,Monteprandone,https://palazzomestichelli.com/contatti/
Paisà Cibo e Ospitalità,info@paisaroom.it,Agnone Cilento,https://www.paisaroom.it/
Margherita B&B,info@margheritabandb.it,Alba Adriatica,https://www.margheritabandb.it/contatti/
Villa Margot,info@villamargot.it,Agropoli,https://www.villamargot.it/
I Delfini B&B,idelfinibb@gmail.com,Agropoli,https://idelfinibb.it/contatti/
O' Stiavucco,info@stiavucco.it,Corleto Monforte,https://www.stiavucco.it/
Borgo Incoronata B&B,info@borgoincoronata.it,Vasto,https://www.borgoincoronata.it/contatti-2/
B&B Villa Consorti,info@villaconsorti.it,Villa Rosa di Martinsicuro,https://www.villaconsorti.it/RoomsDetails.aspx
Palazzo Lupo,francesco@palazzolupo.it,Centola,https://palazzolupo.it/info/
Radici Luxury B&B,info@bbradici.it,Monsampolo del Tronto,https://bbradici.it/it/contatti
B&B Room47,info@room47.it,Alba Adriatica,https://www.room47.it/about-3/
Relais Conac 1888,info@conac.it,Castelnuovo Don Bosco,https://www.conac.it/location-e-contatti/
Piemonte House,info@piemontehouse.it,Monesiglio,https://www.piemontehouse.it/contatti/
B&B MagicHouse,magichousenovara@gmail.com,Novara,https://bbmagichouse.it/contatti/
B&Bio Panemarmellata,info@bedandbiopanemarmellata.it,Santarcangelo di Romagna,https://www.bedandbiopanemarmellata.it/
B&B Ospitando,info@bbospitando.it,Vittorio Veneto,https://www.bbospitando.it/index.php?id=contatti
Mulini Venturi,info@muliniventuri.it,Saludecio,https://www.muliniventuri.it/
Medoacvs B&B,info@medoacvs.it,Fiesso d'Artico,https://www.medoacvs.it/contatti/
Bucci 54 B&B,info@bucci54.com,Morciano di Romagna,https://www.bucci54.com/
B&B Oasi,bnboasi1@gmail.com,Bacu Abis,https://www.bboasi.com/contatti/
Agriturismo B&B Sa Mendhula,info@samendhula.com,Olbia,https://samendhula.com/contatti/
Sa Domu Sarda,sadomusarda@virgilio.it,Porto Columbu,https://www.sadomusarda.it/contatti/
Casa Mian B&B,info@casamian.it,Orosei,https://www.casamian.it/contatti/
B&B La Badessa,agricolalabadessa@gmail.com,Ozzano dell'Emilia,https://agricolalabadessa.it/contatti/
